"Haplogroup"	"Hgsubgroup"	"oneletter"	"MacroPhylo"
"H2a2a1a"	"H2"	"H"	"HV"
"H2a2a1b"	"H2"	"H"	"HV"
"H2a2a1c"	"H2"	"H"	"HV"
"H2a2a1d"	"H2"	"H"	"HV"
"H2a2a1e"	"H2"	"H"	"HV"
"H2a2a1f"	"H2"	"H"	"HV"
"H2a2a1g"	"H2"	"H"	"HV"
"H2a2a1h"	"H2"	"H"	"HV"
"H2a2a2"	"H2"	"H"	"HV"
"H2a2b1a1"	"H2"	"H"	"HV"
"H2a2b1a"	"H2"	"H"	"HV"
"H2a2b1"	"H2"	"H"	"HV"
"H2a2b2"	"H2"	"H"	"HV"
"H2a2b3"	"H2"	"H"	"HV"
"H2a2b4"	"H2"	"H"	"HV"
"H2a2b5a"	"H2"	"H"	"HV"
"H2a2b5"	"H2"	"H"	"HV"
"H2a2b"	"H2"	"H"	"HV"
"H2a2a+(16235)"	"H2"	"H"	"HV"
"H2a1a1"	"H2"	"H"	"HV"
"H2a1a2"	"H2"	"H"	"HV"
"H2a1a"	"H2"	"H"	"HV"
"H2a1b1"	"H2"	"H"	"HV"
"H2a1b2"	"H2"	"H"	"HV"
"H2a1b"	"H2"	"H"	"HV"
"H2a1c"	"H2"	"H"	"HV"
"H2a1d"	"H2"	"H"	"HV"
"H2a1e1a1"	"H2"	"H"	"HV"
"H2a1e1a"	"H2"	"H"	"HV"
"H2a1e1b"	"H2"	"H"	"HV"
"H2a1e1"	"H2"	"H"	"HV"
"H2a1e"	"H2"	"H"	"HV"
"H2a1f1"	"H2"	"H"	"HV"
"H2a1f2"	"H2"	"H"	"HV"
"H2a1f"	"H2"	"H"	"HV"
"H2a1g"	"H2"	"H"	"HV"
"H2a1i"	"H2"	"H"	"HV"
"H2a1j"	"H2"	"H"	"HV"
"H2a1k"	"H2"	"H"	"HV"
"H2a1m"	"H2"	"H"	"HV"
"H2a1n"	"H2"	"H"	"HV"
"H2a1+146"	"H2"	"H"	"HV"
